INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('F', TO_DATE('2022/01/13', 'yyyy/mm/dd'), TO_DATE('2024/02/03', 'yyyy/mm/dd'), '1,0', '1', '3');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('F', TO_DATE('2022/11/15', 'yyyy/mm/dd'), TO_DATE('2027/09/25', 'yyyy/mm/dd'), '0,9', '5', '5');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('M', TO_DATE('2020/11/13', 'yyyy/mm/dd'), TO_DATE('2023/06/14', 'yyyy/mm/dd'), '0,8', '6', '6');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('M', TO_DATE('2021/01/27', 'yyyy/mm/dd'), TO_DATE('2022/02/19', 'yyyy/mm/dd'), '1,1', '9', '3');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('M', TO_DATE('2020/07/12', 'yyyy/mm/dd'), TO_DATE('2023/08/22', 'yyyy/mm/dd'), '1,2', '12', '2');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('M', TO_DATE('2002/07/11', 'yyyy/mm/dd'), TO_DATE('2019/01/01', 'yyyy/mm/dd'), '1,1', '24', '8');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('M', TO_DATE('2007/09/12', 'yyyy/mm/dd'), TO_DATE('2023/07/10', 'yyyy/mm/dd'), '1,0', '25', '8');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('M', TO_DATE('2004/01/29', 'yyyy/mm/dd'), TO_DATE('2007/08/03', 'yyyy/mm/dd'), '1,3', '6', '5');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('F', TO_DATE('2015/12/04', 'yyyy/mm/dd'), TO_DATE('2030/01/18', 'yyyy/mm/dd'), '2,0', '3', '13');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('M', TO_DATE('2013/01/01', 'yyyy/mm/dd'), TO_DATE('2024/01/01', 'yyyy/mm/dd'), '2,5', '7', '14');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('F', TO_DATE('2020/01/01', 'yyyy/mm/dd'), TO_DATE('2024/12/31', 'yyyy/mm/dd'), '1,4', '8', '24');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('M', TO_DATE('2005/04/17', 'yyyy/mm/dd'), TO_DATE('2013/08/02', 'yyyy/mm/dd'), '1,0', '2', '25');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('F', TO_DATE('2022/01/01', 'yyyy/mm/dd'), TO_DATE('2024/01/01', 'yyyy/mm/dd'), '2,1', '3', '21');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('M', TO_DATE('2020/01/15', 'yyyy/mm/dd'), TO_DATE('2030/01/24', 'yyyy/mm/dd'), '3,2', '4', '19');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('M', TO_DATE('2016/10/01', 'yyyy/mm/dd'), TO_DATE('2026/10/01', 'yyyy/mm/dd'), '2,0', '14', '17');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('M', TO_DATE('2013/11/18', 'yyyy/mm/dd'), TO_DATE('2024/05/09', 'yyyy/mm/dd'), '1,1', '12', '30');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('F', TO_DATE('2020/01/01', 'yyyy/mm/dd'), TO_DATE('2025/01/15', 'yyyy/mm/dd'), '1,0', '13', '27');
